x_var,janus_lsh_p50,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p95,janus_mh_p99,janus_read_p50,janus_read_p95,janus_read_p99,janus_write_p50,janus_write_p95,janus_write_p99,calvin_lsh_p50,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p95,calvin_mh_p99,calvin_read_p50,calvin_read_p95,calvin_read_p99,calvin_write_p50,calvin_write_p95,calvin_write_p99,slog_lsh_p50,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p95,slog_mh_p99,slog_read_p50,slog_read_p95,slog_read_p99,slog_write_p50,slog_write_p95,slog_write_p99,cockroachdb_lsh_p50,cockroachdb_lsh_p95,cockroachdb_lsh_p99,cockroachdb_fsh_p50,cockroachdb_fsh_p95,cockroachdb_fsh_p99,cockroachdb_mh_p50,cockroachdb_mh_p95,cockroachdb_mh_p99,cockroachdb_read_p50,cockroachdb_read_p95,cockroachdb_read_p99,cockroachdb_write_p50,cockroachdb_write_p95,cockroachdb_write_p99,detock_lsh_p50,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p95,detock_mh_p99,detock_read_p50,detock_read_p95,detock_read_p99,detock_write_p50,detock_write_p95,detock_write_p99
1.0,163.402978,249.2132796,302.439813,,,,,,,,,,,,,126.680794,288.5898065999999,545.3503026799993,,,,,,,,,,,,,7.895387,10.611022899999998,12.520305960000005,152.535632,281.54034975,623.2114704500001,,,,,,,,,,,,,,,,,,,18.428688524590164,23.791803278688523,23.791803278688523,25.77726300784042,29.63207412687105,30.553314326443395,7.912412,10.703093599999999,12.729899719999999,107.0083195,244.940942,256.4099744,,,,,,,,,
10.0,182.165951,246.6441753,249.04525836,,,,,,,,,,,,,135.107705,273.046636,479.93291312,,,,,,,,,,,,,8.055474,11.047820699999997,13.587609899999999,154.718267,267.901681,279.69305448,,,,,,,,,,,,,,,,,,,12.329411764705881,13.042930856553147,13.042930856553147,92.07168982519099,102.1984939489019,107.10387270282408,7.892297,10.809530199999998,13.294062479999997,126.137112,244.9659851,255.18658668,,,,,,,,,
25.0,182.36217,246.8293811,249.2875416,,,,,,,,,,,,,134.071066,274.2072879,480.91951916000005,,,,,,,,,,,,,7.8826125000000005,11.283707550000003,14.0827787,155.5085575,268.15344525,280.14666370000003,,,,,,,,,,,,,,,,,,,2.773559670781893,4.37067901234568,4.37067901234568,278.4409017713323,303.6390946502021,314.5686348183901,7.596101,10.9962118,13.627685879999998,126.301867,245.1334513,255.702523,,,,,,,,,
50.0,182.493741,246.7866082,249.32951496,,,,,,,,,,,,,137.874188,279.7675283,482.42014316,,,,,,,,,,,,,7.890247499999999,12.5266615,16.379929500000014,156.4726015,270.43885105,282.66947075,,,,,,,,,,,,,,,,,,,3.5388090349075982,5.302772073921972,5.3050308008213545,456.0624229979392,482.4942505133386,494.51021337379774,7.654911,12.302015,16.229332999999997,127.15178,246.73009000000002,257.09752188000004,,,,,,,,,
75.0,185.68955799999998,247.05899010000002,249.8136781,,,,,,,,,,,,,147.44962,347.08977450000003,483.55121643999996,,,,,,,,,,,,,8.6123,16.42231199999998,28.71165511999998,157.679703,273.069534,291.12776271999996,,,,,,,,,,,,,,,,,,,,,,,,,8.443245,18.66623649999998,36.92036549999998,129.0049045,249.8195293,270.11252750999967,,,,,,,,,
100.0,191.680172,247.408541,249.7255749,,,,,,,,,,,,,155.528086,353.84644499999996,484.34288588,,,,,,,,,,,,,9.06207,28.78716079999995,211.20633612000037,164.1548545,375.7318088999998,860.8441194099998,,,,,,,,,,,,,,,,,,,4.227310061601644,4.578747433264888,5.682238193018481,662.3865815552168,696.6308990268724,710.9444335327187,8.4610585,53.73895099999981,654.3407164399978,145.824078,846.1215625,1801.5100564000015,,,,,,,,,
125.0,210.86344300000002,247.52031455,249.99324327,,,,,,,,,,,,,160.146363,359.8774046,485.03494056,,,,,,,,,,,,,8.606942,90.39009439999994,1646.3304498799998,163.961277,2045.498755399995,3487.274623879999,,,,,,,,,,,,,,,,,,,,,,,,,8.589135,25.134737,827.6120169999965,142.479599,2043.2816205,4133.515191750001,,,,,,,,,
150.0,211.18184200000002,247.83037945,252.03138355000004,,,,,,,,,,,,,160.817828,364.35425989999993,485.94572308,,,,,,,,,,,,,8.842675,33.31967819999984,1328.6959804800038,164.658247,2489.95954,4516.622568600001,,,,,,,,,,,,,,,,,,,,,,,,,8.89068,25.9999813999999,1768.8502500399884,141.63314400000002,3686.4295550500037,7449.932658359999,,,,,,,,,
200.0,210.65812849999998,247.8289384,250.34503923000003,,,,,,,,,,,,,161.084621,363.3057472,485.86953383,,,,,,,,,,,,,9.5011735,99.87026134999999,1627.840946620001,167.7632735,3099.901956349999,7035.18505447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250.0,211.4304985,248.13698434999998,266.5766988700012,,,,,,,,,,,,,160.5439215,364.38386879999996,486.02306517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.875512295081963,18.54661885245899,20.929610655737697,703.0386404133878,760.7296863863061,773.7064059158928,,,,,,,,,,,,,,,
500.0,212.132274,249.20998824999998,314.46454918000006,,,,,,,,,,,,,161.8321405,480.73201735,582.0246477799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.08473360655735,17.881659836065552,19.50368852459017,612.6463025659301,770.3504632929449,783.3405559515386,,,,,,,,,,,,,,,
750.0,211.973191,254.2508425,447.8721696599998,,,,,,,,,,,,,237.30757499999999,713.54531415,1027.3802731999956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000.0,226.401513,321.1818768,445.83311252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.777868852459072,33.962807377049245,35.389651639344336,787.8213114754247,1028.0120099786313,1042.2121436208279,,,,,,,,,,,,,,,
1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.009118852458972,24.916700819672137,25.969672131147565,702.7127851033514,958.8475588025701,972.5359586600165,,,,,,,,,,,,,,,
2500.0,404.7053295,1249.4373498999996,2260.8527666199984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000.0,820.475779,2466.0480780999987,4023.0744138399996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000.0,1871.121014,3997.518005999998,5670.043462040001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
